Dataset,Model,Lambda,Fold,Accuracy,Latency,Depth,FitTime,SOPs
BreastCancer,CART,0.0,1,0.912280701754386,0.0,7.0,0.0,
BreastCancer,RF,0.0,1,0.9824561403508772,0.0,10.0,0.0,
BreastCancer,NST,0.0,1,0.912280701754386,38.09372329711914,6.0,0.2365829944610595,
BreastCancer,NSF,0.0,1,0.9385964912280702,37.89950204888979,5.0,0.8566486835479736,
BreastCancer,NST,0.1,1,0.9210526315789472,36.55521774291992,8.0,0.2972443103790283,
BreastCancer,NSF,0.1,1,0.9473684210526316,35.914629105831445,5.0,0.9903509616851808,
BreastCancer,NST,0.25,1,0.9385964912280702,36.86277770996094,10.0,0.375051736831665,
BreastCancer,NSF,0.25,1,0.9473684210526316,34.12868074882797,9.4,1.7079994678497314,
BreastCancer,NST,0.5,1,0.9649122807017544,33.62144088745117,10.0,0.4531855583190918,
BreastCancer,NSF,0.5,1,0.9473684210526316,32.61174877317328,10.0,1.97501802444458,
BreastCancer,CART,0.0,2,0.912280701754386,0.0,8.0,0.0,
BreastCancer,RF,0.0,2,0.9473684210526316,0.0,10.0,0.0,
BreastCancer,NST,0.0,2,0.912280701754386,40.07634353637695,5.0,0.2157440185546875,
BreastCancer,NSF,0.0,2,0.9298245614035088,38.208909710387736,4.4,0.8445837497711182,
BreastCancer,NST,0.1,2,0.9035087719298246,39.69398514429728,10.0,0.3758265972137451,
BreastCancer,NSF,0.1,2,0.9473684210526316,36.98868684538623,7.0,1.1871552467346191,
BreastCancer,NST,0.25,2,0.9210526315789472,36.25529479980469,10.0,0.334007978439331,
BreastCancer,NSF,0.25,2,0.9210526315789472,37.44039306598797,9.6,1.790160894393921,
BreastCancer,NST,0.5,2,0.9210526315789472,35.641357421875,10.0,0.3518657684326172,
BreastCancer,NSF,0.5,2,0.9385964912280702,33.53773890336355,10.0,2.0751266479492188,
BreastCancer,CART,0.0,3,0.9473684210526316,0.0,7.0,0.0,
BreastCancer,RF,0.0,3,0.9912280701754386,0.0,10.0,0.0,
BreastCancer,NST,0.0,3,0.9035087719298246,38.79516220092773,5.0,0.2020211219787597,
BreastCancer,NSF,0.0,3,0.9649122807017544,37.66820440494527,4.8,0.7797482013702393,
BreastCancer,NST,0.1,3,0.8421052631578947,36.678897857666016,6.0,0.273292064666748,
BreastCancer,NSF,0.1,3,0.9649122807017544,33.98921561624572,5.6,0.8246872425079346,
BreastCancer,NST,0.25,3,0.912280701754386,34.27360916137695,10.0,0.3384201526641845,
BreastCancer,NSF,0.25,3,0.9385964912280702,35.227585504487244,8.2,1.4663400650024414,
BreastCancer,NST,0.5,3,0.956140350877193,32.5373467897114,10.0,0.3986380100250244,
BreastCancer,NSF,0.5,3,0.956140350877193,32.15451341037862,10.0,2.0509026050567627,
BreastCancer,CART,0.0,4,0.9035087719298246,0.0,6.0,0.0,
BreastCancer,RF,0.0,4,0.9385964912280702,0.0,10.0,0.0,
BreastCancer,NST,0.0,4,0.8421052631578947,41.38775634765625,6.0,0.2042248249053955,
BreastCancer,NSF,0.0,4,0.9385964912280702,37.05723626460249,5.0,0.8786354064941406,
BreastCancer,NST,0.1,4,0.8947368421052632,37.46657552217182,10.0,0.3214032649993896,
BreastCancer,NSF,0.1,4,0.8771929824561403,36.99194245924029,6.6,1.182703971862793,
BreastCancer,NST,0.25,4,0.9473684210526316,38.05107319145872,10.0,0.3993504047393799,
BreastCancer,NSF,0.25,4,0.9385964912280702,36.49083103241279,9.6,1.8722496032714844,
BreastCancer,NST,0.5,4,0.9298245614035088,33.90829888770455,10.0,0.3997018337249756,
BreastCancer,NSF,0.5,4,0.9385964912280702,34.925234878551194,10.0,2.130482912063598,
BreastCancer,CART,0.0,5,0.9203539823008848,0.0,6.0,0.0,
BreastCancer,RF,0.0,5,0.9823008849557522,0.0,10.0,0.0,
BreastCancer,NST,0.0,5,0.7699115044247787,40.46087646484375,7.0,0.2061364650726318,
BreastCancer,NSF,0.0,5,0.7787610619469026,36.18369814498586,5.0,0.9134790897369384,
BreastCancer,NST,0.1,5,0.7964601769911505,34.842979431152344,7.0,0.1958398818969726,
BreastCancer,NSF,0.1,5,0.8849557522123894,33.76527781620138,5.4,0.9733591079711914,
BreastCancer,NST,0.25,5,0.7079646017699115,33.64552688598633,10.0,0.3432722091674804,
BreastCancer,NSF,0.25,5,0.8141592920353983,34.7603339288087,10.0,1.8640904426574707,
BreastCancer,NST,0.5,5,0.9380530973451328,32.44087688479803,10.0,0.3728630542755127,
BreastCancer,NSF,0.5,5,0.8141592920353983,32.41589119103806,9.6,2.0380735397338867,
Wine,CART,0.0,1,0.746875,0.0,10.0,0.0,
Wine,RF,0.0,1,0.7875,0.0,10.0,0.0,
Wine,NST,0.0,1,0.64375,45.99810028076172,10.0,0.4933152198791504,
Wine,NSF,0.0,1,0.68125,44.3245325577259,10.0,1.9759745597839355,
Wine,NST,0.1,1,0.68125,41.42276763916016,10.0,0.3091180324554443,
Wine,NSF,0.1,1,0.665625,41.79410072803497,10.0,1.610734462738037,
Wine,NST,0.25,1,0.659375,37.204534417390825,10.0,0.1986656188964843,
Wine,NSF,0.25,1,0.653125,37.50291016817093,10.0,1.1845765113830566,
Wine,NST,0.5,1,0.528125,14.63258874565363,10.0,0.1203958988189697,
Wine,NSF,0.5,1,0.528125,13.601505443900823,10.0,0.6469523906707764,
Wine,CART,0.0,2,0.728125,0.0,10.0,0.0,
Wine,RF,0.0,2,0.775,0.0,10.0,0.0,
Wine,NST,0.0,2,0.696875,47.194786071777344,10.0,0.4560368061065674,
Wine,NSF,0.0,2,0.728125,46.43928469061852,10.0,1.802326917648316,
Wine,NST,0.1,2,0.64375,44.54780960083008,10.0,0.3207240104675293,
Wine,NSF,0.1,2,0.71875,43.370951798260215,10.0,1.6430420875549316,
Wine,NST,0.25,2,0.703125,37.472785734385255,10.0,0.1902477741241455,
Wine,NSF,0.25,2,0.65625,36.42486652697126,10.0,1.0328598022460938,
Wine,NST,0.5,2,0.53125,13.604561089724305,10.0,0.1195385456085205,
Wine,NSF,0.5,2,0.534375,13.352083497047422,10.0,0.6593103408813477,
Wine,CART,0.0,3,0.7875,0.0,10.0,0.0,
Wine,RF,0.0,3,0.846875,0.0,10.0,0.0,
Wine,NST,0.0,3,0.665625,43.953086853027344,10.0,0.5347459316253662,
Wine,NSF,0.0,3,0.653125,45.19709473729134,10.0,2.0097968578338623,
Wine,NST,0.1,3,0.653125,42.12068557739258,10.0,0.3095033168792724,
Wine,NSF,0.1,3,0.671875,41.77916706264018,10.0,1.805640697479248,
Wine,NST,0.25,3,0.575,33.46474350392818,10.0,0.1875646114349365,
Wine,NSF,0.25,3,0.528125,30.1037695749104,10.0,0.8450636863708496,
Wine,NST,0.5,3,0.534375,13.376848846673964,10.0,0.1122422218322753,
Wine,NSF,0.5,3,0.53125,12.50640148431063,10.0,0.5962958335876465,
Wine,CART,0.0,4,0.78125,0.0,10.0,0.0,
Wine,RF,0.0,4,0.825,0.0,10.0,0.0,
Wine,NST,0.0,4,0.703125,47.52168655395508,10.0,0.4747676849365234,
Wine,NSF,0.0,4,0.7125,47.34792641162873,10.0,2.00057339668274,
Wine,NST,0.1,4,0.715625,41.29839324951172,10.0,0.3733870983123779,
Wine,NSF,0.1,4,0.734375,42.918034325043365,10.0,1.691941261291504,
Wine,NST,0.25,4,0.684375,37.07677851617336,10.0,0.1805098056793213,
Wine,NSF,0.25,4,0.671875,34.58261230116089,10.0,0.9113082885742188,
Wine,NST,0.5,4,0.5375,16.668377834558488,10.0,0.114215612411499,
Wine,NSF,0.5,4,0.5375,16.255962524414063,10.0,0.611342191696167,
Wine,CART,0.0,5,0.7241379310344828,0.0,10.0,0.0,
Wine,RF,0.0,5,0.8275862068965517,0.0,10.0,0.0,
Wine,NST,0.0,5,0.7053291536050157,46.45479202270508,10.0,0.4543013572692871,
Wine,NSF,0.0,5,0.6959247648902821,46.5168880881187,10.0,1.9308960437774656,
Wine,NST,0.1,5,0.6614420062695925,41.32661437988281,10.0,0.3318614959716797,
Wine,NSF,0.1,5,0.7304075235109718,41.07712023514814,10.0,1.5988764762878418,
Wine,NST,0.25,5,0.7147335423197492,37.32530373540418,10.0,0.1752815246582031,
Wine,NSF,0.25,5,0.7210031347962382,36.5913754833654,10.0,0.9339830875396729,
Wine,NST,0.5,5,0.5329153605015674,14.286971474889675,10.0,0.1158151626586914,
Wine,NSF,0.5,5,0.5297805642633229,15.74964907939158,10.0,0.6634397506713867,
Heart,CART,0.0,1,0.8148148148148148,0.0,8.0,0.0,
Heart,RF,0.0,1,0.8333333333333334,0.0,10.0,0.0,
Heart,NST,0.0,1,0.7777777777777778,36.84722116258409,6.0,0.0388832092285156,
Heart,NSF,0.0,1,0.7777777777777778,34.664293727168335,6.2,0.1523694992065429,
Heart,NST,0.1,1,0.7777777777777778,30.439191818237305,7.0,0.0383038520812988,
